#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=160 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:51.83 aq:35.62 tex:5905 mv:4443 misc:140 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:52.02 aq:34.00 tex:0 mv:5 misc:243 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:52.02 aq:37.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:52.02 aq:38.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:52.02 aq:38.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:51.57 aq:34.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:51.79 aq:36.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:51.90 aq:38.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:51.68 aq:37.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:51.08 aq:38.88 tex:308 mv:253 misc:319 imb:44 pmb:1 smb:3555 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:51.33 aq:41.90 tex:51 mv:72 misc:317 imb:2 pmb:31 smb:3567 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:51.45 aq:41.08 tex:56 mv:84 misc:308 imb:2 pmb:28 smb:3570 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:51.20 aq:36.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:13 out:13 type:i dur:2 cpbdur:2 q:48.87 aq:32.99 tex:15507 mv:8814 misc:159 imb:3600 pmb:0 smb:0 d:- ref:;
in:14 out:14 type:P dur:2 cpbdur:2 q:51.32 aq:37.73 tex:1554 mv:329 misc:349 imb:43 pmb:13 smb:3544 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:51.25 aq:41.19 tex:857 mv:349 misc:370 imb:36 pmb:25 smb:3539 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:51.28 aq:41.04 tex:31 mv:11 misc:262 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:51.30 aq:43.04 tex:31 mv:22 misc:243 imb:1 pmb:2 smb:3597 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:51.27 aq:42.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:50.74 aq:43.08 tex:69 mv:43 misc:272 imb:3 pmb:3 smb:3594 d:- ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:51.00 aq:40.05 tex:32 mv:6 misc:250 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:51.13 aq:42.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:50.87 aq:42.04 tex:30 mv:6 misc:236 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:50.13 aq:39.10 tex:165 mv:119 misc:324 imb:15 pmb:3 smb:3582 d:- ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:50.44 aq:40.00 tex:1 mv:3 misc:252 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:50.59 aq:42.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:50.29 aq:46.24 tex:58 mv:12 misc:250 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:42.61 aq:30.55 tex:10535 mv:3842 misc:1951 imb:468 pmb:268 smb:2864 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:46.37 aq:41.64 tex:263 mv:170 misc:423 imb:2 pmb:58 smb:3540 d:s ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:40.63 aq:26.24 tex:23000 mv:5576 misc:2160 imb:1116 pmb:438 smb:2046 d:- ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:39.92 aq:28.61 tex:9789 mv:2118 misc:1125 imb:167 pmb:224 smb:3209 d:- ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:40.28 aq:32.98 tex:35 mv:34 misc:299 imb:0 pmb:9 smb:3591 d:s ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:40.45 aq:32.81 tex:49 mv:54 misc:241 imb:0 pmb:6 smb:3594 d:s ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:40.10 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:38.04 aq:26.52 tex:8890 mv:2254 misc:2024 imb:142 pmb:380 smb:3078 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:38.98 aq:28.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:39.45 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:38.51 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:41.58 aq:25.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:39.81 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:38.92 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:40.69 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:39.66 aq:23.00 tex:1 mv:5 misc:258 imb:0 pmb:1 smb:3599 d:s ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:40.62 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:41.10 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:40.14 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:48 out:46 type:P dur:2 cpbdur:2 q:38.06 aq:28.09 tex:8303 mv:2329 misc:640 imb:364 pmb:52 smb:3184 d:s ref:0 ;
in:46 out:47 type:B dur:2 cpbdur:2 q:39.13 aq:29.00 tex:24 mv:119 misc:513 imb:1 pmb:102 smb:3497 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:38.59 aq:32.12 tex:134 mv:458 misc:576 imb:20 pmb:94 smb:3486 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:38.67 aq:24.87 tex:20498 mv:7874 misc:900 imb:1596 pmb:83 smb:1921 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:38.36 aq:24.06 tex:140 mv:292 misc:864 imb:12 pmb:168 smb:3420 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:38.21 aq:34.51 tex:449 mv:798 misc:785 imb:22 pmb:184 smb:3394 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:38.51 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:41.08 aq:27.60 tex:102 mv:47 misc:291 imb:2 pmb:5 smb:3593 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:39.87 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:39.27 aq:30.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:40.48 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:40.74 aq:17.60 tex:30 mv:19 misc:263 imb:0 pmb:2 smb:3598 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:40.91 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:41.00 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:40.83 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:39.61 aq:23.37 tex:158 mv:54 misc:308 imb:3 pmb:5 smb:3592 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:40.18 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:40.46 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:39.90 aq:31.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:65 out:65 type:I dur:2 cpbdur:2 q:38.30 aq:23.61 tex:182272 mv:52629 misc:163 imb:3600 pmb:0 smb:0 d:s ref:;
in:69 out:66 type:P dur:2 cpbdur:2 q:42.21 aq:35.46 tex:3469 mv:339 misc:352 imb:14 pmb:30 smb:3556 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:42.21 aq:34.93 tex:223 mv:63 misc:314 imb:0 pmb:19 smb:3581 d:s ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:42.21 aq:36.77 tex:52 mv:21 misc:255 imb:0 pmb:4 smb:3596 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:42.21 aq:37.06 tex:32 mv:6 misc:234 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:41.58 aq:32.09 tex:352 mv:205 misc:363 imb:12 pmb:13 smb:3575 d:s ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:41.89 aq:37.86 tex:159 mv:87 misc:314 imb:0 pmb:13 smb:3587 d:t ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:42.05 aq:36.00 tex:1 mv:28 misc:243 imb:0 pmb:2 smb:3598 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:41.73 aq:36.00 tex:0 mv:0 misc:224 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:41.26 aq:37.20 tex:351 mv:147 misc:326 imb:5 pmb:13 smb:3582 d:s ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:41.42 aq:33.00 tex:5 mv:47 misc:276 imb:1 pmb:4 smb:3595 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:41.50 aq:35.78 tex:9 mv:25 misc:246 imb:1 pmb:1 smb:3598 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:41.34 aq:35.00 tex:0 mv:11 misc:237 imb:0 pmb:1 smb:3599 d:- ref:0 ;
